Sign,DOB,Name_of_person,place_of_birth,time_of_birth,latitude,longitude
sagittarius,28-04-1965,Ashit,Siliguri,23:40,26.7164127,88.4309916
taurus,01-08-1977,Garvit,Jorapokhar,18:59,23.7167069,86.4110166
virgo,10-10-1957,Amitava,Kedarnath,21:12,30.7345609,79.0673204
capricorn,21-01-1942,Jhumpa,Alwar ,2:26,27.414004849999998,76.61703869600933
gemini,15-06-1987,Joshil,Kangra,12:32,32.166667,76.25
libra,12-09-1990,Sameer,Gokarna,2:42,14.5439629,74.3184418
aquarius,01-10-1997,Dev,Budaun ,13:3,28.116667,78.983333
cancer,29-10-1943,Satish,Vizianagaram ,13:57,18.1139259,83.3979562
scorpio,11-09-1998,Hamood,Hindaun ,12:58,26.7325006,77.0363121
pisces,14-02-1957,Hemanshu,Gwalior,1:1,26.2037247,78.1573628
aries,11-07-1947,Chaman,Mangalore,7:55,12.8698101,74.8430082
leo,21-02-1976,Honey,Pali,18:29,25.45522105,73.4193889559074
sagittarius,18-06-1994,Jasim,Haora,17:12,22.5736296,88.3251045
taurus,13-11-1975,Avanish,Amaravati,2:19,16.5096679,80.5184535
virgo,04-05-1989,Dhrsita,Fatehpur ,5:34,25.8348023,80.91545468512774
capricorn,15-11-1965,Dayita,Abohar ,11:19,30.1450543,74.1956597
gemini,24-08-1985,Usha,Panihati ,4:18,22.6950342,88.4073585
libra,02-10-1941,Kiyana,Bidhan Nagar ,13:56,22.591149,88.3912585
aquarius,15-01-1974,Ali,Siliguri ,4:2,26.7164127,88.4309916
cancer,22-10-1988,Amarnath,Navsari,20:35,20.952407,72.9323831
scorpio,09-04-1967,Lavanya,Beawar ,5:46,26.0992137,74.3127044
pisces,10-04-1983,Arshad,Kolhapur,7:9,16.7028412,74.2405329
aries,22-01-1963,Tejas,Gangapur City ,7:6,26.4766906,76.7232749
leo,29-08-1947,Chandan,Maheshtala ,16:31,22.5060294,88.2501665
sagittarius,26-04-1952,Japan,Achalpur ,23:52,21.240792499999998,77.42779700393686
taurus,01-02-1985,Gayanthika,Bahraich ,19:56,27.734382250000003,81.47653998303304
virgo,05-10-1946,Abdul,Bhopal,18:52,23.2584857,77.401989
capricorn,22-11-1998,Amberlie,Lucknow,19:58,26.8381,80.9346001
gemini,20-08-1969,Jaganath,Rajahmundry,2:47,17.0050454,81.7804732
libra,23-07-1956,Ijay,Ratlam,22:45,23.50222005,74.9551534052134
aquarius,14-10-1961,Bhanu,Dallo Pura ,14:6,,
cancer,16-09-1962,Arundhati,Calicut,10:14,11.2450558,75.7754716
scorpio,26-01-1998,Chaaya,Barddhaman,8:22,23.25,87.75
pisces,07-02-1977,Asmita,Aizawl  ,5:24,23.7433532,92.7382756
aries,19-08-1965,Anchal,Raurkela,19:36,22.21428495,84.87243686998576
leo,26-01-1999,Rani,Alappuzha ,7:40,9.5006651,76.41241428564258
sagittarius,22-07-1966,Arjun,Nanded Waghala ,4:35,19.169335,77.311013
taurus,07-01-1956,Hunny,Jaipur,3:43,26.9154576,75.8189817
virgo,07-08-1982,Diganth,Sundarbans,9:36,22.023988699999997,89.31360358800323
capricorn,12-01-1982,Kaeya,Chandannagar ,17:53,22.8639237,88.3703496
gemini,15-07-1975,Hasina,Bhimbetka,13:7,22.9384007,77.6133286
libra,19-01-1947,Abhitha,Pathankot ,2:6,32.3021899,75.65894063717977
aquarius,29-12-1975,Lucky,Akbarpur ,5:25,26.424310650000002,82.5679341735663
cancer,01-07-1942,Alagi,Coimbatore,1:26,11.0018115,76.9628425
scorpio,27-09-1944,Diksha,Agra,18:3,27.1752554,78.0098161
pisces,20-12-1946,Jagadeesh,Machilipatnam,20:3,16.1817369,81.1348181
aries,01-03-1963,Gundeep,Biharsharif ,13:39,25.203511849999998,85.52609103791916
leo,07-09-1962,Inderbir,Bhatpara ,7:41,22.8571157,88.3971976
sagittarius,15-12-1962,Lirthika,Greater Noida,20:17,28.4670734,77.5137649
taurus,21-08-1967,Ankur,Ambala Sadar ,2:6,30.3400628,76.8419494
virgo,21-06-1979,Ekiya,Muzaffarnagar ,22:59,29.44969785,77.74293325807088
capricorn,26-10-1975,Kawaljit,Jetpur Navagadh ,2:1,21.7640594,70.6166597
gemini,04-10-1996,Damyanti,Havelock Island,19:11,11.965195399999999,92.99562114546528
libra,23-11-1957,Yogita,Salem ,3:45,44.9391565,-123.033121
aquarius,07-10-1969,Kundalik,Hubli,20:18,15.3518378,75.1379848
cancer,14-09-1948,Jasvinder,Ganganagar ,19:59,23.7497214,91.87663495294915
scorpio,17-06-1993,Dipika,Khammam ,20:42,17.172918850000002,80.40575365751027
pisces,31-03-1950,Govind,Sasaram ,7:23,24.9001003,84.0182110684575
aries,03-06-1949,Jasleen,Bengaluru,8:11,12.98815675,77.62260003796
leo,03-06-2001,Amisha,Karur,15:0,10.821767099999999,78.38286541157868
sagittarius,09-12-1973,Inderpreet,Haripur,1:15,27.0139022,85.5417221759705
taurus,12-04-1983,Bhakti,Haldia ,9:19,22.028124,88.0632655
virgo,14-01-1966,Ilyas,Uttarpara Kotrung ,13:42,22.6675463,88.3437177
capricorn,02-03-2001,Hershit,Nainital,4:3,29.29499495,79.41625112686134
gemini,20-06-1942,Krishna,Baharampur ,14:12,24.1044927,88.2510635
libra,07-08-1997,Anshul,Aligarh,12:39,27.8761073,78.13581531245276
aquarius,07-12-1988,Adhyan,Bagalkot ,15:42,16.1793224,75.6999315
cancer,07-05-1959,Dhruvan,Chilakaluripet ,10:17,16.0949502,80.1658779
scorpio,01-03-1953,Aravind,Chitrakoot,15:13,25.21713895,81.10459272134409
pisces,06-08-1989,Kanisha,Bengaluru,14:46,12.98815675,77.62260003796
aries,01-06-1981,Kamran,Bengaluru,15:8,12.98815675,77.62260003796
leo,03-12-1971,Harshit,Jalgaon ,19:4,20.84288265,75.52612463784979
sagittarius,12-06-1988,Vimla,Tuticorin,9:26,8.8052602,78.1452745
taurus,19-03-1972,Imaad,Farrukhabad-cum-Fatehgarh ,2:16,,
virgo,25-04-1958,Jaipreet,Bhiwadi ,23:47,28.2039413,76.837441
capricorn,04-07-1944,Elisaiyan,Parbhani ,8:0,19.29019805,76.60264434278307
gemini,27-02-1982,Shradha,Khajuraho,3:58,24.8515132,79.9259786
libra,31-08-1950,Sridhar,Khanapur,14:31,15.639879,74.5088917
aquarius,14-06-1959,Liyana,Gulbarga,20:57,17.166667,77.083333
cancer,13-11-1981,Avni,Greater Noida ,19:22,28.4670734,77.5137649
scorpio,03-04-1949,Trisha,Krishnapuram,20:33,13.2793881,79.6285657
pisces,16-03-1961,Anshika,Mughalsarai ,4:3,25.3078635,83.1958664
aries,08-03-1954,Hansh,Adoni ,15:36,39.913451,9.185837
leo,21-01-1976,Jignasa,Karimnagar,16:10,18.4348122,79.1328042
sagittarius,08-08-1993,Devina,Murudeshwar,0:42,15.3410864,75.11971136443378
taurus,21-02-1988,Shweta,Junagadh ,13:38,21.5174104,70.4642754
virgo,10-05-1944,Karmjit,Vijayawada,23:1,16.5087573,80.6185089
capricorn,26-12-1992,Din,Rajarhat Gopalpur ,11:19,22.6286173,88.44061
gemini,18-06-1971,Ashal,Thane ,15:38,19.1943294,72.9701779
libra,04-10-1943,Bhoopendra,Visakhapatnam,2:50,17.7231276,83.3012842
aquarius,30-03-1977,Jaithra,Dhanbad ,13:23,23.7952809,86.4309638
cancer,08-02-1972,Sagar,Ludhiana ,5:44,30.9090157,75.851601
scorpio,23-01-1960,Geeta,Wayanad,16:42,11.71512915,76.12711850740615
pisces,27-12-1957,Lata,Thiruvananthapuram,6:24,8.4882267,76.947551
aries,20-01-1952,Kunaal,Katihar ,5:15,25.5586421,87.64571962485962
leo,25-02-1995,Devarya,Varanasi,23:6,25.3356491,83.0076292
sagittarius,18-04-1997,Aadiv,Bikaner ,18:31,28.0159286,73.3171367
taurus,03-05-1967,Livtar,Bhiwandi,8:13,19.3025562,73.0588072
virgo,20-08-1974,Ayaan,Agra,2:45,27.1752554,78.0098161
capricorn,09-09-1984,Indali,Amarkantak,15:51,22.670465,81.7588417
gemini,19-02-1973,Anish,Mysore,13:54,12.3051828,76.6553609
libra,12-06-1957,Kairav,Adilabad,20:41,19.54570375,78.60867589700759
aquarius,04-01-1996,Madhuri,Spiti Valley,20:52,,
cancer,02-08-1981,Gunamalar,Hospet,22:48,15.266493,76.3872297
scorpio,08-02-1994,Karishma,Latur,11:35,18.35159075,76.75542361334745
pisces,10-02-1968,Atishay,Ahmadabad ,6:29,23.0215374,72.5800568
aries,09-06-1973,Simran,South Dum Dum ,2:27,-28.3816667,153.3594444
leo,20-08-1988,Hetvi,Kulti ,13:45,23.7302149,86.8396711
sagittarius,27-11-1946,Sunaina,Bulandshahr ,19:55,28.3874073,77.9743804965303
taurus,20-09-1979,Abhik,Gangawati ,0:46,15.7212791,76.7392516
virgo,03-03-1988,Aasim,Kolkata,10:40,22.5726459,88.3638953
capricorn,28-05-1979,Indranil,Aurangabad,8:8,24.786306,84.41448983395554
gemini,22-12-1941,Ehtisham,Chirala,0:17,15.8361517,80.3636644
libra,20-07-1994,Amrin,Banswara ,19:56,23.49150465,74.35021720129201
aquarius,06-03-1994,Divyansh,Ludhiana,22:37,30.9090157,75.851601
cancer,03-09-1961,Ankit,Palwal ,13:18,28.1405741,77.3259802
scorpio,18-11-1990,Abinash,Rishikesh,7:23,30.1086537,78.2916193
pisces,04-10-1987,Davneet,Cherrapunji,15:28,25.2777336,91.7292416
aries,20-08-1999,Ekanjeet,Muktsar ,3:45,30.4692,74.5182
leo,14-01-1944,Khanak,English Bazar ,6:59,25.0057449,88.1398483
sagittarius,10-02-1975,Anmol,Tadpatri ,20:52,14.9393455,78.02808711615015
taurus,06-11-1980,Kanika,Amritsar ,3:48,31.6343083,74.8736788
virgo,04-07-1954,Aagney,Patiala ,14:42,30.20927775,76.33972313649818
capricorn,25-08-1943,Hashir,Bikaner,16:36,28.0159286,73.3171367
gemini,17-03-1984,Hammaad,Chamba,10:6,32.518429,76.23086565661742
libra,03-12-1948,Jaimini,Bhuj,21:53,23.2472446,69.668339
aquarius,19-09-1972,Chetan,Muzaffarnagar,21:28,29.44969785,77.74293325807088
cancer,06-11-2000,Aniya,Bijapur,16:22,16.8269911,75.7175387
scorpio,10-01-1951,Fatma,Silvassa,19:51,20.2736768,73.0045787
pisces,03-03-2001,Haleema,Bhavnagar,3:3,21.7718836,72.1416449
aries,04-09-1993,Krish,Hajipur ,11:33,25.7215853,85.2549691837086
leo,08-06-1958,Haarathi,Fatehpur Sikri,15:1,27.0911655,77.6623984
sagittarius,12-03-1977,Aadrik,Hyderabad,19:13,17.360589,78.4740613
taurus,02-05-2000,Kamini,Kota,18:0,25.196682950000003,76.00096873038872
virgo,01-08-1989,Kalyani,Munnar,23:44,10.0869959,77.0600915
capricorn,04-01-1943,Kalaiarasi,Nashik,15:18,20.0112475,73.7902364
gemini,27-05-1971,Agampreet,Agartala ,1:43,23.8312377,91.2823821
libra,06-01-1956,Aswin,Saugor,11:43,23.8477612,78.7433318
aquarius,10-03-1964,Abhinandan,Vijayawada ,7:0,16.5087573,80.6185089
cancer,16-08-2000,Arvind,Yamunanagar ,19:52,30.1231349,77.286329
scorpio,10-12-1978,Karishma,Auroville,19:29,12.0073927,79.8099471
pisces,24-10-1981,Niharika,Thanjavur,0:13,10.65903695,79.20142776213416
aries,10-10-1983,Debolina,Dalhousie,3:15,32.54357545,75.94484088677805
leo,17-02-1963,Chavi,Bagaha ,16:16,27.05901115,84.20646375475478
sagittarius,28-01-1996,Haider,Khardaha ,14:28,22.7156992,88.381582
taurus,07-04-1954,Adity,Deoghar ,23:33,24.4766423,86.60673245386945
virgo,08-02-1987,Bilal,Gangtok,2:44,27.329046,88.6122673
capricorn,09-09-1985,Avi,Puducherry ,6:16,10.91564885,79.80694879844232
gemini,17-06-1948,Lohith,Bodh Gaya,15:28,24.699280700000003,84.98735793629879
libra,21-02-1962,Adil,Cuddalore ,14:29,11.52020705,79.33963564750636
aquarius,20-01-1942,Kori,Jamshedpur ,10:57,22.8015194,86.2029579
cancer,25-04-1952,Reshma,Hindupur,8:53,13.8306127,77.492635
scorpio,14-01-1957,Shiva,Shivpuri ,10:20,25.374121549999998,77.82788660942335
pisces,24-03-1973,Amruta,Chikmagalur ,11:46,13.318014,75.7738743
aries,09-02-1944,Balbir,Proddatur,23:29,14.7555953,78.5501531
leo,17-06-1970,Bhanumati,Palakkad ,4:21,10.78736915,76.47421718925105
sagittarius,24-04-1990,Juhi,Rewari ,9:54,28.1956468,76.6165179
taurus,06-11-1962,Jigna,Mathura ,4:14,27.633333,77.583333
virgo,09-01-1973,Abhoy,Thanesar ,23:33,29.993039500000002,76.82922282678291
capricorn,29-12-1988,Indroneel,Nagpur,0:38,21.1498134,79.0820556
gemini,24-12-1948,Ishivara,Kolhapur,13:13,16.7028412,74.2405329
libra,12-08-1996,Ekani,Singrauli ,21:34,24.1974432,82.6661453
aquarius,29-03-1968,Kishor,Ranchi,13:46,23.3700501,85.3250387
cancer,27-04-1987,Sarika,Bulandshahr,17:37,28.3874073,77.9743804965303
scorpio,05-10-1963,Abhisumat,Basti ,6:27,27.25,83.0
pisces,06-06-1995,Kaushambi,Indore,20:3,22.7203616,75.8681996
aries,29-03-1953,Ganak,Ahmedabad,15:22,23.0215374,72.5800568
leo,29-04-1997,Bhadrak,Tiruvottiyur ,19:14,13.1563873,80.3005279
sagittarius,25-01-1982,Divakar,Kendujhar,23:9,21.5892323,85.66878413736906
taurus,20-02-1999,Ekachakra,Pathankot,23:19,32.3021899,75.65894063717977
virgo,31-08-1990,Devendra,Srikakulam ,4:59,18.622438000000002,84.14437640941347
capricorn,17-03-1976,Kushagra,Auli,12:12,60.0392514,11.3520012
gemini,01-07-1954,Debjani,Neil Island,17:25,48.13567345,-91.53010740255729
libra,09-04-1960,Prakash,Valparai,12:48,10.3279931,76.9557258
aquarius,08-12-1946,Gajrup,Panchkula,9:22,30.6975401,76.8551066
cancer,31-05-1983,Darshil,Kagaznagar,12:30,19.401042949999997,79.43454087965227
scorpio,28-12-1987,Eklavya,Dum Dum ,18:23,22.6520597,88.4360417
pisces,28-01-1985,Anjali,Kurichi ,3:23,10.8819438,78.8852691
aries,29-04-1992,Anushka,Nagda ,0:8,23.4578957,75.4191114
leo,11-02-1954,Hemant,Tiruvannamalai ,20:34,12.2343228,79.0761989
sagittarius,14-04-1961,Asma,Sikar,22:18,27.662505799999998,75.02799052644464
taurus,21-04-1957,Jiyan,Lonavala,18:47,18.7548563,73.4016729
virgo,08-12-1974,Prerna,Botad ,10:35,22.046709749999998,71.66896169930108
capricorn,23-11-1966,Humaira,Bhuj ,12:56,23.2472446,69.668339
gemini,08-10-1990,Amish,Nasik,16:53,-2.8338744,107.4174285
libra,02-06-1942,Janya,Dindigul,14:15,10.425689649999999,77.815663999998
aquarius,03-10-1980,Vishal,Rameswaram,3:33,9.2844657,79.3125553
cancer,17-03-1999,Atul,Bongaon ,12:0,25.1219027,90.0847039
scorpio,05-07-1995,Sushma,Shikohabad ,10:26,27.035826299999997,78.64962695161324
pisces,21-01-1981,Harshini,Dhule ,12:27,21.1305215,74.49006143365727
aries,12-10-1994,Kamada,Moradabad,4:59,28.879655300000003,78.80953353954959
leo,15-04-1990,Avantika,Narasaraopet ,1:23,16.2389242,80.0472879
sagittarius,26-10-1991,Livdeep,Shillong ,11:31,25.5760446,91.8825282
taurus,08-12-1998,Dev,Arrah ,1:40,25.62345725,84.59683868653386
virgo,13-02-1943,Pallavi,Bundi ,22:4,25.4367659,75.736147085863
capricorn,05-07-1945,Kalyani,Guntakal ,0:38,15.163811,77.3761354
gemini,17-03-1969,Adya,Port Blair,10:35,11.6645348,92.7390448
libra,31-08-1992,Arish,Pune,23:29,18.5213738,73.8545071
aquarius,26-11-1956,Arni,Barnala ,10:0,30.3716802,75.5039886995367
cancer,25-02-1964,Gunjan,Jind ,16:17,29.30219685,76.33894452216312
scorpio,09-03-1948,Girilal,Kaithal ,19:58,29.82231125,76.3790553562613
pisces,17-08-1942,Idhithri,Abohar,1:15,30.1450543,74.1956597
aries,13-11-1960,Chahat,Shimla,16:26,31.1041526,77.1709729
leo,26-04-1995,Janhvi,Rourkela,18:12,22.253999399999998,84.8577520139704
sagittarius,09-04-1945,Darshit,Bhadrak ,8:16,21.0633288,86.5053731
taurus,18-10-1963,Pranav,Lalitpur ,10:17,24.6999688,78.51861997577222
virgo,28-06-1952,Veena,Hastsal ,16:28,28.6359648,77.0487636
capricorn,05-09-1975,Geethu,Shimla,19:7,31.1041526,77.1709729
gemini,17-09-1980,Sahana,Gadag-Betigeri ,14:6,15.4263647,75.6300786
libra,02-07-1991,Deepali,Hemis,17:9,33.9083119,77.6341507
aquarius,24-10-1960,Monica,Raipur ,21:4,21.2380912,81.6336993
cancer,05-04-1947,Gunav,Meerut ,6:47,29.0018557,77.76796714992041
scorpio,02-02-2000,Hira,Panipat,12:16,29.3912753,76.9771675
pisces,21-08-1990,Richa,Surendranagar Dudhrej ,23:18,,
aries,21-04-1961,Aarushi,Loni ,6:30,22.195767,74.80494318124548
leo,15-08-1961,Aakriti,Bansberia ,21:42,22.0614999,88.2843636
sagittarius,24-03-1974,Aakarsh,Tirupati,20:58,13.6316368,79.4231711
taurus,02-08-1951,Akash,Ambur ,3:24,12.7874171,78.7188211
virgo,22-12-1976,Naresh,Saharsa ,13:19,25.83307565,86.61437508111757
capricorn,25-02-1955,Geeta,Jammu,18:19,32.7185614,74.8580917
gemini,11-07-1948,Amitesh,Anantapur,20:38,14.72421995,77.43067380798242
libra,16-11-1951,Joyeeta,Surat ,16:20,45.9383,3.2553
aquarius,21-06-1942,Kavish,Krishnanagar,1:3,23.4058481,88.4958935
cancer,14-02-1952,Kavan,Barrackpur ,21:19,-29.9452805,30.9643676
scorpio,23-08-1947,Alani,Ratlam ,11:41,23.50222005,74.9551534052134
pisces,08-04-1983,Akash,McLeod Ganj,23:5,32.2352666,76.326238
aries,17-08-1953,Baruni,Sikar ,22:18,27.662505799999998,75.02799052644464
leo,28-05-1955,Karamjot,Namchi,7:45,27.3031019,88.37859609224414
sagittarius,10-11-1999,Manoj,Titagarh ,11:51,22.7419198,88.379201
taurus,18-03-1997,Aum,Sirsa ,13:57,29.583333,75.083333
virgo,01-02-1980,Aariz,Ujjain,7:47,23.1885131,75.7716562
capricorn,08-04-1952,Asvin,Haldia,15:13,22.028124,88.0632655
gemini,14-07-1955,Gayathri,Diskit,13:49,34.5512277,77.5506547
libra,15-05-1979,Ishika,Vadodara ,7:7,22.2973142,73.1942567
aquarius,19-09-1967,Nirmala,Begusarai ,19:44,25.5125411,86.08833919362361
cancer,21-10-1983,Apratim,Darjeeling,5:30,27.0377554,88.263176
scorpio,04-01-1957,Kartikeya,Mahabalipuram,8:2,12.6195981,80.1936497
pisces,12-03-1956,Jiyu,Alappuzha,20:25,9.5006651,76.41241428564258
aries,04-01-1996,Abhilasha,Bhiwandi ,22:18,19.3025562,73.0588072
leo,20-08-1980,Bhawna,Bastar,5:6,19.11912825,81.82918648971713
sagittarius,25-02-2000,Japna,Kohima,3:36,25.6618755,94.1019156
taurus,08-05-1972,Fariya,Erode ,19:13,11.49052815,77.35052739885393
virgo,17-05-1997,Grahish,Visakhapatnam,21:43,17.7231276,83.3012842
capricorn,19-07-1956,Aanchal,Giridih ,16:18,24.1608897,86.25113503301655
gemini,26-05-1972,Harshita,Bolpur,2:38,23.661154,87.6962424
libra,18-02-1949,Kajal,Kurnool,20:30,15.8309251,78.0425373
aquarius,21-07-1972,Gaushik,Goa,9:29,15.3004543,74.0855134
cancer,24-12-1972,Anurag,Faridabad ,6:30,28.4031478,77.3105561
scorpio,21-10-1958,Aniket,Samlaipadar,20:38,21.2223813,83.4764224
pisces,24-10-1948,Nikhil,Bandhavgarh,8:22,23.6444125,81.0245022889163
aries,10-05-1992,Dushyant,Haora ,4:43,22.5736296,88.3251045
leo,21-07-1971,Aparna,Ranibennur ,3:16,14.625888,75.6357245
sagittarius,26-05-1948,Janvi,Tambaram ,14:34,12.9245279,80.1150525
taurus,07-02-1998,Astitva,Puri,18:19,19.8076083,85.8252538
virgo,08-11-1950,Anshul,Baramula,3:12,34.2086903,74.343498
capricorn,10-07-1978,Amar,Akola,6:33,20.76181225,77.1921156663574
gemini,15-09-1946,Anavi,Sagar ,20:53,23.808307550000002,78.75825398721975
libra,13-04-1999,Hamsavahini,Tharati Etawah,4:11,,
aquarius,19-10-1976,Guneet,Kishtwar,1:24,33.2761171,75.8169238781403
cancer,01-01-1995,Azmi,Chandausi ,4:10,28.449104,78.7828513
scorpio,08-09-1970,Aamra,Gondal ,22:7,21.9721823,70.7955235
pisces,27-08-1970,Aryaman,Sivasagar,14:23,26.9834936,94.6394226
aries,14-11-1978,Garv,Mysore,13:26,12.3051828,76.6553609
leo,10-05-1964,Japjot,Darbhanga ,13:8,26.082989949999998,86.03249509324232
sagittarius,19-05-1956,Cherry,Joshimath,0:15,30.5555752,79.5612607
taurus,12-05-1988,Bidisha,Pilibhit ,16:22,28.4947158,80.1076121626605
virgo,05-06-1983,Bhavini,Shirdi,21:58,19.7668121,74.4754386
capricorn,05-11-1995,Hrishab,Hugli-Chinsurah ,15:56,22.8854687,88.3837126
gemini,25-04-1978,Rachana,Parbhani,20:55,19.29019805,76.60264434278307
libra,26-04-1966,Zoya,Dinapur Nizamat ,9:50,,
aquarius,11-12-1951,Kuldeep,Mount Abu,11:53,24.592433,72.7081876
cancer,16-07-1961,Jasbir,Pilibhit,11:16,28.4947158,80.1076121626605
scorpio,27-07-1974,Aadita,Ambikapur ,9:9,23.1226343,83.1981886
pisces,28-06-1965,Kaustav,Anand ,3:32,22.5586555,72.9627227
aries,19-01-1948,Achintya,Bandipur,21:21,27.9380224,84.4066959
leo,08-02-1976,Abhijeet,Talcher,2:27,20.9458183,85.2111736
sagittarius,28-01-1982,Lotika,Sambhal ,17:43,28.6187267,78.5508909140845
taurus,13-09-1978,Hanif,Durg ,3:57,21.1982964,81.40079215767969
virgo,15-12-1999,Girish,Chikka Mandya,15:45,12.5458134,76.8959387
capricorn,26-01-1995,Hema,Latur ,8:52,18.35159075,76.75542361334745
gemini,10-03-1944,Garg,Hanumangarh ,4:37,29.3659533,74.29842896506344
libra,21-09-1979,Chasmum,Satara ,22:8,17.63612885,74.29827807601782
aquarius,23-07-1963,Devjeet,Sawai Madhopur ,17:0,26.1137182,76.4240637330536
cancer,11-02-1952,Arya,Jaisalmer,7:46,27.0264162,70.77751197645885
scorpio,09-05-1981,Kamya,Jammu ,17:32,32.7185614,74.8580917
pisces,25-01-1989,Daksha,Porbandar ,11:46,21.6409,69.611
aries,11-02-1948,Aadhavi,Bilaspur ,17:59,30.3612115,77.3229651442197
