Sign,DOB,Name_of_person,place_of_birth
virgo,04-05-1989,Dhrsita,Fatehpur 
capricorn,15-11-1965,Dayita,Abohar 
gemini,24-08-1985,Usha,Panihati 
libra,02-10-1941,Kiyana,Bidhan Nagar 
aquarius,15-01-1974,Ali,Siliguri 
cancer,22-10-1988,Amarnath,Navsari
scorpio,09-04-1967,Lavanya,Beawar 
pisces,10-04-1983,Arshad,Kolhapur
aries,22-01-1963,Tejas,Gangapur City 
leo,29-08-1947,Chandan,Maheshtala 
sagittarius,26-04-1952,Japan,Achalpur 
taurus,01-02-1985,Gayanthika,Bahraich 
virgo,05-10-1946,Abdul,Bhopal
capricorn,22-11-1998,Amberlie,Lucknow
gemini,20-08-1969,Jaganath,Rajahmundry
libra,23-07-1956,Ijay,Ratlam
aquarius,14-10-1961,Bhanu,Dallo Pura 
cancer,16-09-1962,Arundhati,Calicut
scorpio,26-01-1998,Chaaya,Barddhaman
pisces,07-02-1977,Asmita,Aizawl  
aries,19-08-1965,Anchal,Raurkela
leo,26-01-1999,Rani,Alappuzha 
sagittarius,22-07-1966,Arjun,Nanded Waghala 
taurus,07-01-1956,Hunny,Jaipur
virgo,07-08-1982,Diganth,Sundarbans
capricorn,12-01-1982,Kaeya,Chandannagar 
gemini,15-07-1975,Hasina,Bhimbetka
libra,19-01-1947,Abhitha,Pathankot 
aquarius,29-12-1975,Lucky,Akbarpur 
cancer,01-07-1942,Alagi,Coimbatore
scorpio,27-09-1944,Diksha,Agra
pisces,20-12-1946,Jagadeesh,Machilipatnam
aries,01-03-1963,Gundeep,Biharsharif 
leo,07-09-1962,Inderbir,Bhatpara 
sagittarius,15-12-1962,Lirthika,Greater Noida
taurus,21-08-1967,Ankur,Ambala Sadar 
virgo,21-06-1979,Ekiya,Muzaffarnagar 
capricorn,26-10-1975,Kawaljit,Jetpur Navagadh 
gemini,04-10-1996,Damyanti,Havelock Island
libra,23-11-1957,Yogita,Salem 
aquarius,07-10-1969,Kundalik,Hubli
cancer,14-09-1948,Jasvinder,Ganganagar 
scorpio,17-06-1993,Dipika,Khammam 
pisces,31-03-1950,Govind,Sasaram 
aries,03-06-1949,Jasleen,Bengaluru
leo,03-06-2001,Amisha,Karur
sagittarius,09-12-1973,Inderpreet,Haripur
taurus,12-04-1983,Bhakti,Haldia 
virgo,14-01-1966,Ilyas,Uttarpara Kotrung 
capricorn,02-03-2001,Hershit,Nainital
gemini,20-06-1942,Krishna,Baharampur 
libra,07-08-1997,Anshul,Aligarh
aquarius,07-12-1988,Adhyan,Bagalkot 
cancer,07-05-1959,Dhruvan,Chilakaluripet 
scorpio,01-03-1953,Aravind,Chitrakoot
pisces,06-08-1989,Kanisha,Bengaluru
aries,01-06-1981,Kamran,Bengaluru
leo,03-12-1971,Harshit,Jalgaon 
sagittarius,12-06-1988,Vimla,Tuticorin
taurus,19-03-1972,Imaad,Farrukhabad-cum-Fatehgarh 
virgo,25-04-1958,Jaipreet,Bhiwadi 
capricorn,04-07-1944,Elisaiyan,Parbhani 
gemini,27-02-1982,Shradha,Khajuraho
libra,31-08-1950,Sridhar,Khanapur
aquarius,14-06-1959,Liyana,Gulbarga
cancer,13-11-1981,Avni,Greater Noida 
scorpio,03-04-1949,Trisha,Krishnapuram
pisces,16-03-1961,Anshika,Mughalsarai 
aries,08-03-1954,Hansh,Adoni 
leo,21-01-1976,Jignasa,Karimnagar
sagittarius,08-08-1993,Devina,Murudeshwar
taurus,21-02-1988,Shweta,Junagadh 
virgo,10-05-1944,Karmjit,Vijayawada
capricorn,26-12-1992,Din,Rajarhat Gopalpur 
gemini,18-06-1971,Ashal,Thane 
libra,04-10-1943,Bhoopendra,Visakhapatnam
aquarius,30-03-1977,Jaithra,Dhanbad 
cancer,08-02-1972,Sagar,Ludhiana 
scorpio,23-01-1960,Geeta,Wayanad
pisces,27-12-1957,Lata,Thiruvananthapuram
aries,20-01-1952,Kunaal,Katihar 
leo,25-02-1995,Devarya,Varanasi
sagittarius,18-04-1997,Aadiv,Bikaner 
taurus,03-05-1967,Livtar,Bhiwandi
virgo,20-08-1974,Ayaan,Agra
capricorn,09-09-1984,Indali,Amarkantak
gemini,19-02-1973,Anish,Mysore
libra,12-06-1957,Kairav,Adilabad
aquarius,04-01-1996,Madhuri,Spiti Valley
cancer,02-08-1981,Gunamalar,Hospet
scorpio,08-02-1994,Karishma,Latur
pisces,10-02-1968,Atishay,Ahmadabad 
aries,09-06-1973,Simran,South Dum Dum 
leo,20-08-1988,Hetvi,Kulti 
sagittarius,27-11-1946,Sunaina,Bulandshahr 
taurus,20-09-1979,Abhik,Gangawati 
virgo,03-03-1988,Aasim,Kolkata
capricorn,28-05-1979,Indranil,Aurangabad
gemini,22-12-1941,Ehtisham,Chirala
libra,20-07-1994,Amrin,Banswara 
aquarius,06-03-1994,Divyansh,Ludhiana
cancer,03-09-1961,Ankit,Palwal 
scorpio,18-11-1990,Abinash,Rishikesh
pisces,04-10-1987,Davneet,Cherrapunji
aries,20-08-1999,Ekanjeet,Muktsar 
leo,14-01-1944,Khanak,English Bazar 
sagittarius,10-02-1975,Anmol,Tadpatri 
taurus,06-11-1980,Kanika,Amritsar 
virgo,04-07-1954,Aagney,Patiala 
capricorn,25-08-1943,Hashir,Bikaner
gemini,17-03-1984,Hammaad,Chamba
libra,03-12-1948,Jaimini,Bhuj
aquarius,19-09-1972,Chetan,Muzaffarnagar
cancer,06-11-2000,Aniya,Bijapur
scorpio,10-01-1951,Fatma,Silvassa
pisces,03-03-2001,Haleema,Bhavnagar
aries,04-09-1993,Krish,Hajipur 
leo,08-06-1958,Haarathi,Fatehpur Sikri
sagittarius,12-03-1977,Aadrik,Hyderabad
taurus,02-05-2000,Kamini,Kota
virgo,01-08-1989,Kalyani,Munnar
capricorn,04-01-1943,Kalaiarasi,Nashik
gemini,27-05-1971,Agampreet,Agartala 
libra,06-01-1956,Aswin,Saugor
aquarius,10-03-1964,Abhinandan,Vijayawada 
cancer,16-08-2000,Arvind,Yamunanagar 
scorpio,10-12-1978,Karishma,Auroville
pisces,24-10-1981,Niharika,Thanjavur
aries,10-10-1983,Debolina,Dalhousie
leo,17-02-1963,Chavi,Bagaha 
sagittarius,28-01-1996,Haider,Khardaha 
taurus,07-04-1954,Adity,Deoghar 
virgo,08-02-1987,Bilal,Gangtok
capricorn,09-09-1985,Avi,Puducherry 
gemini,17-06-1948,Lohith,Bodh Gaya
libra,21-02-1962,Adil,Cuddalore 
aquarius,20-01-1942,Kori,Jamshedpur 
cancer,25-04-1952,Reshma,Hindupur
scorpio,14-01-1957,Shiva,Shivpuri 
pisces,24-03-1973,Amruta,Chikmagalur 
aries,09-02-1944,Balbir,Proddatur
leo,17-06-1970,Bhanumati,Palakkad 
sagittarius,24-04-1990,Juhi,Rewari 
taurus,06-11-1962,Jigna,Mathura 
virgo,09-01-1973,Abhoy,Thanesar 
capricorn,29-12-1988,Indroneel,Nagpur
gemini,24-12-1948,Ishivara,Kolhapur
libra,12-08-1996,Ekani,Singrauli 
aquarius,29-03-1968,Kishor,Ranchi
cancer,27-04-1987,Sarika,Bulandshahr
scorpio,05-10-1963,Abhisumat,Basti 
pisces,06-06-1995,Kaushambi,Indore
aries,29-03-1953,Ganak,Ahmedabad
leo,29-04-1997,Bhadrak,Tiruvottiyur 
sagittarius,25-01-1982,Divakar,Kendujhar
taurus,20-02-1999,Ekachakra,Pathankot
virgo,31-08-1990,Devendra,Srikakulam 
capricorn,17-03-1976,Kushagra,Auli
gemini,01-07-1954,Debjani,Neil Island
libra,09-04-1960,Prakash,Valparai
aquarius,08-12-1946,Gajrup,Panchkula
cancer,31-05-1983,Darshil,Kagaznagar
scorpio,28-12-1987,Eklavya,Dum Dum 
pisces,28-01-1985,Anjali,Kurichi 
aries,29-04-1992,Anushka,Nagda 
leo,11-02-1954,Hemant,Tiruvannamalai 
sagittarius,14-04-1961,Asma,Sikar
taurus,21-04-1957,Jiyan,Lonavala
virgo,08-12-1974,Prerna,Botad 
capricorn,23-11-1966,Humaira,Bhuj 
gemini,08-10-1990,Amish,Nasik
libra,02-06-1942,Janya,Dindigul
aquarius,03-10-1980,Vishal,Rameswaram
cancer,17-03-1999,Atul,Bongaon 
scorpio,05-07-1995,Sushma,Shikohabad 
pisces,21-01-1981,Harshini,Dhule 
aries,12-10-1994,Kamada,Moradabad
leo,15-04-1990,Avantika,Narasaraopet 
sagittarius,26-10-1991,Livdeep,Shillong 
taurus,08-12-1998,Dev,Arrah 
virgo,13-02-1943,Pallavi,Bundi 
capricorn,05-07-1945,Kalyani,Guntakal 
gemini,17-03-1969,Adya,Port Blair
libra,31-08-1992,Arish,Pune
aquarius,26-11-1956,Arni,Barnala 
cancer,25-02-1964,Gunjan,Jind 
scorpio,09-03-1948,Girilal,Kaithal 
pisces,17-08-1942,Idhithri,Abohar
aries,13-11-1960,Chahat,Shimla
leo,26-04-1995,Janhvi,Rourkela
sagittarius,09-04-1945,Darshit,Bhadrak 
taurus,18-10-1963,Pranav,Lalitpur 
virgo,28-06-1952,Veena,Hastsal 
capricorn,05-09-1975,Geethu,Shimla
gemini,17-09-1980,Sahana,Gadag-Betigeri 
libra,02-07-1991,Deepali,Hemis
aquarius,24-10-1960,Monica,Raipur 
cancer,05-04-1947,Gunav,Meerut 
scorpio,02-02-2000,Hira,Panipat
pisces,21-08-1990,Richa,Surendranagar Dudhrej 
aries,21-04-1961,Aarushi,Loni 
leo,15-08-1961,Aakriti,Bansberia 
sagittarius,24-03-1974,Aakarsh,Tirupati
taurus,02-08-1951,Akash,Ambur 
virgo,22-12-1976,Naresh,Saharsa 
capricorn,25-02-1955,Geeta,Jammu
gemini,11-07-1948,Amitesh,Anantapur
libra,16-11-1951,Joyeeta,Surat 
aquarius,21-06-1942,Kavish,Krishnanagar
cancer,14-02-1952,Kavan,Barrackpur 
scorpio,23-08-1947,Alani,Ratlam 
pisces,08-04-1983,Akash,McLeod Ganj
aries,17-08-1953,Baruni,Sikar 
leo,28-05-1955,Karamjot,Namchi
sagittarius,10-11-1999,Manoj,Titagarh 
taurus,18-03-1997,Aum,Sirsa 
virgo,01-02-1980,Aariz,Ujjain
capricorn,08-04-1952,Asvin,Haldia
gemini,14-07-1955,Gayathri,Diskit
libra,15-05-1979,Ishika,Vadodara 
aquarius,19-09-1967,Nirmala,Begusarai 
cancer,21-10-1983,Apratim,Darjeeling
scorpio,04-01-1957,Kartikeya,Mahabalipuram
pisces,12-03-1956,Jiyu,Alappuzha
aries,04-01-1996,Abhilasha,Bhiwandi 
leo,20-08-1980,Bhawna,Bastar
sagittarius,25-02-2000,Japna,Kohima
taurus,08-05-1972,Fariya,Erode 
virgo,17-05-1997,Grahish,Visakhapatnam
capricorn,19-07-1956,Aanchal,Giridih 
gemini,26-05-1972,Harshita,Bolpur
libra,18-02-1949,Kajal,Kurnool
aquarius,21-07-1972,Gaushik,Goa
cancer,24-12-1972,Anurag,Faridabad 
scorpio,21-10-1958,Aniket,Samlaipadar
pisces,24-10-1948,Nikhil,Bandhavgarh
aries,10-05-1992,Dushyant,Haora 
leo,21-07-1971,Aparna,Ranibennur 
sagittarius,26-05-1948,Janvi,Tambaram 
taurus,07-02-1998,Astitva,Puri
virgo,08-11-1950,Anshul,Baramula
capricorn,10-07-1978,Amar,Akola
gemini,15-09-1946,Anavi,Sagar 
libra,13-04-1999,Hamsavahini,Tharati Etawah
aquarius,19-10-1976,Guneet,Kishtwar
cancer,01-01-1995,Azmi,Chandausi 
scorpio,08-09-1970,Aamra,Gondal 
pisces,27-08-1970,Aryaman,Sivasagar
aries,14-11-1978,Garv,Mysore
leo,10-05-1964,Japjot,Darbhanga 
sagittarius,19-05-1956,Cherry,Joshimath
taurus,12-05-1988,Bidisha,Pilibhit 
virgo,05-06-1983,Bhavini,Shirdi
capricorn,05-11-1995,Hrishab,Hugli-Chinsurah 
gemini,25-04-1978,Rachana,Parbhani
libra,26-04-1966,Zoya,Dinapur Nizamat 
aquarius,11-12-1951,Kuldeep,Mount Abu
cancer,16-07-1961,Jasbir,Pilibhit
scorpio,27-07-1974,Aadita,Ambikapur 
pisces,28-06-1965,Kaustav,Anand 
aries,19-01-1948,Achintya,Bandipur
leo,08-02-1976,Abhijeet,Talcher
sagittarius,28-01-1982,Lotika,Sambhal 
taurus,13-09-1978,Hanif,Durg 
virgo,15-12-1999,Girish,Chikka Mandya
capricorn,26-01-1995,Hema,Latur 
gemini,10-03-1944,Garg,Hanumangarh 
libra,21-09-1979,Chasmum,Satara 
aquarius,23-07-1963,Devjeet,Sawai Madhopur 
cancer,11-02-1952,Arya,Jaisalmer
scorpio,09-05-1981,Kamya,Jammu 
pisces,25-01-1989,Daksha,Porbandar 
aries,11-02-1948,Aadhavi,Bilaspur 
leo,14-08-1979,Yogesh,Kullu
sagittarius,02-02-1952,Farida,Tarkarli
taurus,01-10-1952,Kirti,Delhi
virgo,02-02-1994,Amit,Gopalpur
capricorn,23-10-1972,Vaibhav,Rishra 
gemini,23-10-1958,Aayod,Baraut 
libra,20-07-1978,Abhishek,Somnath
aquarius,30-10-1995,Charita,Ravangla
cancer,11-09-1971,Bharat,Gandhinagar 
scorpio,18-07-1991,Akanksha,Seoni 
pisces,18-05-1949,Kirandeep,Alipurduar
aries,02-11-1993,Dipta,Buxar 
leo,19-08-1981,Lata,Kasganj 
sagittarius,07-04-1991,Jamir,Tirunelveli
taurus,09-02-1992,Deependra,Vizianagaram
virgo,20-04-1980,Abeer,Burari 
capricorn,19-06-1986,Divyaraj,Damoh 
gemini,28-11-1997,Gita,Kadapa
libra,28-06-1954,Divyam,Khanna 
aquarius,25-01-1999,Damini,Azamgarh 
cancer,18-03-1961,Bhavika,Ahmadnagar 
scorpio,20-04-1992,Fatima,Thanjavur
pisces,09-03-1974,Anshuman,Bhiwani
aries,02-10-1987,Ibrahim,Durgapur 
leo,05-04-1986,Anuraktika,Rae Bareli 
sagittarius,18-02-1981,Aayush,Orchha
taurus,17-12-1962,Anjaneya,Ayodhya
virgo,20-05-1985,Aarya,Bidar 
capricorn,05-03-1942,Ilakkiyan,Bhind 
gemini,19-06-1964,Ekta,Ranikhet
libra,02-05-1981,Madhusudan,Vrindavan
aquarius,19-03-1997,Dhaval,Tonk
cancer,08-06-1999,Anubhuti,Narkanda
scorpio,28-10-1986,Prasad,Bhopal 
pisces,27-08-1983,Aswad,Bir Billing
aries,02-07-1976,Tina,Mahabubnagar
leo,29-04-1952,Kaiyen,Varanasi 
sagittarius,16-01-1995,Elili,Sangli Miraj Kupwad 
taurus,23-09-1952,Janaki,Shamli 
virgo,01-06-1979,Chathresh,Rewa 
capricorn,20-10-1956,Abdur,Chhattarpur 
gemini,15-01-1943,Abrar,Tenali 
libra,01-06-1994,Mohan,Shoja
aquarius,18-02-1946,Ahinsa,Vadodara
cancer,26-05-1991,Aadidev,Amravati 
scorpio,21-01-1949,Jahanvi,Coorg
pisces,05-04-2001,Bibhu,Hampi
aries,01-02-1943,Mridula,Kumbakonam
leo,07-02-1960,Chander,Chidambaram
sagittarius,19-08-1991,Fatahun,Port Blair 
taurus,10-06-2001,Arpita,Chitradurga 
virgo,28-03-1950,Mohini,Khurja 
capricorn,11-06-1959,Kavyansh,Mussoorie
gemini,10-07-1992,Ilamaran,Vizianagaram
libra,11-03-1943,Shalini,Gandhidham 
aquarius,26-10-1949,Anubhav,Puri 
cancer,16-06-1990,Vijaya,Gonda 
scorpio,25-03-1947,Aastha,Puttaparthi
pisces,29-03-1987,Faizan,Hoshangabad 
aries,11-12-1946,Aatreya,Habra 
leo,16-07-1944,Humaid,Mandya 
sagittarius,19-11-1976,Inderpal,Machilipatnam 
taurus,24-05-2001,Eiravati,Rohtak
virgo,14-06-2000,Aritra,Brahmapur
capricorn,21-06-1974,Kavisha,Asansol 
gemini,03-01-1979,Ekta,Madurai
libra,13-01-1950,Avnindra,Kirari Suleman Nagar 
aquarius,29-04-1978,Jigruksha,Gandhinagar
cancer,29-08-1959,Ekanpreet,Bangalore
scorpio,09-03-1947,Inabat,Adityapur 
pisces,27-08-1956,Konkana,Bilaspur
aries,16-09-1977,Harsha,Kozhikode 
leo,09-01-1973,Hajira,Belgaum 
sagittarius,22-06-1942,Atif,Aligarh 
taurus,15-08-1996,Devadarshini,Shillong 
virgo,25-08-1983,Kavya,Aligarh
capricorn,14-03-1988,Deepak,Gangtok
gemini,19-06-1947,Aashvi,Baripada Town 
libra,09-11-1959,Jigisu,Gurgaon 
aquarius,31-10-1958,Hemavarun,Kolkata 
cancer,19-05-1968,Iravaj,Chapra 
scorpio,11-03-1961,Ilavalagi,Junagadh
pisces,17-04-1955,Eashan,Bhopal 
aries,25-11-1965,Apurva,Jodhpur
leo,08-08-1964,Ankita,Ongole
sagittarius,30-08-1969,Sonal,Alappuzha
taurus,18-01-1986,Debashish,Gulbarga 
virgo,08-04-1958,Gyanvi,Panchkula 
capricorn,22-07-1944,Meena,Uluberia 
gemini,28-07-1967,Aanya,Motihari 
libra,04-07-1972,Jaskeerat,Meerut
aquarius,09-04-1954,Hanshitha,Agra 
cancer,06-06-1953,Kishan,Puruliya 
scorpio,27-03-1956,Kaivalya,Brahmapur Town 
pisces,29-11-1994,Lopa,Ranchi
aries,14-10-1952,Gaurika,Belgaum
leo,15-01-1952,Abhilash,Barot
sagittarius,14-11-1943,Kanta,Bharuch 
taurus,04-11-1952,Ekantika,Nagaur 
virgo,25-09-1946,Jitendra,Hazaribag 
capricorn,12-04-1972,Goldy,Ghaziabad
gemini,09-02-1975,Hridyanshu,Kaziranga
libra,13-07-1942,Farhan,Mirzapur-cum-Vindhyachal 
aquarius,24-09-1955,Grover,Aizawl 
cancer,17-10-2000,Afzan,Bhadravati 
scorpio,23-07-1946,Ayush,Keonjhar
pisces,07-04-1973,Anil,Mandu
aries,29-05-1956,Digraj,Amreli 
leo,14-05-1986,Aarna,Kamarhati 
sagittarius,06-09-1998,Amrutha,Etawah 
taurus,31-10-1986,Anadi,Diu
virgo,20-07-1957,Jagrati,Gwalior
capricorn,24-06-1954,Aaryan,Ambattur 
gemini,31-05-1997,Kiran,Dibrugarh 
libra,03-01-1958,Gnanavalli,Hajo
aquarius,03-02-1964,Abhishek,DehraDun
cancer,27-11-1991,Isha,Karaikkudi 
scorpio,04-11-1963,Ambar,Delhi Cantonment 
pisces,01-03-1990,Kshamya,Bareilly
aries,18-09-1969,Bhavi,Mandi
leo,27-01-1977,Babitarani,North Barrackpur 
sagittarius,20-09-1968,Darvesh,Sarnath
taurus,25-07-1989,Amarpreet,Pahalgam
virgo,16-05-1981,Himaksh,Muzaffarpur 
capricorn,03-08-1954,Bhavya,Guwahati
gemini,26-01-1956,Lekhraj,Bellary
libra,14-05-1987,Jaiden,Delhi
aquarius,22-03-1943,Anoop,Vellore 
cancer,25-07-1975,Sharad,Miryalaguda 
scorpio,19-05-1981,Ashutosh,Pimpri Chinchwad 
pisces,30-08-1965,Junaid,Shimoga
aries,21-08-2000,Divit,Chas 
leo,26-04-1992,Arunima,Jammu
sagittarius,19-11-1966,Chandana,Faridabad
taurus,06-07-1967,Jauhari,Kurnool 
virgo,03-02-2000,Chandni,Jhansi
capricorn,25-05-1946,Jhalak,Bally City
gemini,04-10-1953,Samir,Amritsar
libra,07-09-1942,Akshaya,Hindupur 
aquarius,31-01-1959,Bhavesh,Kakinada 
cancer,09-08-1942,Harshada,Alibaug
scorpio,16-10-1977,Aahan,Bokaro Steel City 
pisces,05-06-1995,Durba,Dibrugarh
aries,14-08-1991,GopalDas,Khammam
leo,14-10-1974,Gurjot,Guwahati 
sagittarius,20-10-1999,Kanan,Purulia
taurus,12-03-1988,Ekanta,Jagdalpur 
virgo,28-10-1998,Hussain,Deoria 
capricorn,17-06-2001,Karthik,Rudrapur 
gemini,24-05-1963,Kishen,Jamnagar 
libra,23-01-1992,Kenisha,Puducherry
aquarius,11-02-1992,Kanayali,Cuttack
cancer,27-07-1993,Bodhi,Hinganghat 
scorpio,08-12-1958,Jeet,Jamshedpur
pisces,04-09-2000,Kushan,Brajrajnagar
aries,27-06-1948,Khaleel,Jorhat
leo,14-05-1967,Advaith,New Delhi
sagittarius,13-05-1945,Hiral,Badami
taurus,28-11-1975,Jivika,Nanded
virgo,15-02-1986,Dulal,Puri
capricorn,19-03-1998,Vijay,Baran 
gemini,24-01-1952,Faraz,Faizabad 
libra,07-10-1949,Hitesh,Chanda
aquarius,28-12-1961,Chaitanya,Puducherry
cancer,28-05-1994,Adhrit,Yavatmal 
scorpio,09-07-2001,Abhaya,Nandyal 
pisces,06-07-1957,Aditi,Panipat 
aries,09-05-1966,Aarav,Chennai
leo,11-11-1946,Devi,Ambala 
sagittarius,07-08-1969,Libni,Mango 
taurus,04-05-2001,Sanjay,Jabalpur
virgo,31-01-1977,Chameli,Mirzapur
capricorn,04-03-1946,Anita,Thoothukkudi 
gemini,09-09-1997,Gunasundari,Cuttack
libra,06-11-1975,Arnab,Leh
aquarius,21-10-1984,Ayushman,Mahesana 
cancer,23-08-1966,Ijaya,Bijapur
scorpio,11-09-1990,Chandranshu,Nellore
pisces,09-10-1991,Tanuja,Secunderabad 
aries,06-08-1972,Anil,Jalpaiguri
leo,07-01-1944,Abhaysinha,Baleshwar Town 
sagittarius,10-03-1979,Aruna,Sirsa
taurus,13-03-1980,Jeevan,Nagaon 
virgo,10-05-1993,Hemani,Kochi
capricorn,25-07-1943,Avani,Sawai Madhopur
gemini,02-03-1952,Jalender,Nadiad 
libra,03-09-1965,Sandhya,Navsari 
aquarius,23-05-1959,Krithika,Morena 
cancer,24-01-1946,Laiba,Tiruchchirappalli
scorpio,05-12-1996,Atul,Champdani 
pisces,01-09-1942,Chitra,Deoli 
aries,11-08-1970,Bhaskor,Kovalam
leo,06-02-1948,Arti,Guntur
sagittarius,20-01-1996,Harpal,Bhilai
taurus,18-09-1962,Aria,Naihati 
virgo,28-09-1970,Lubna,Veraval 
capricorn,30-12-1946,Chayan,Nagapattinam 
gemini,09-02-1992,Bhawana,Pali 
libra,22-09-1998,Arnav,Balasore
aquarius,20-03-1999,Anjoo,Guntur
cancer,10-11-1982,Kalindee,Churu 
scorpio,23-01-2000,Jigar,Udaipur
pisces,13-11-1964,Bhama,Udhampur
aries,15-10-1960,Bhavana,Kolar
leo,19-07-1989,Guru,Bikaner
sagittarius,17-04-1995,Ashay,Gokal Pur 
taurus,10-06-1963,Reena,Thanjavur 
virgo,22-10-2000,Vineet,Agartala
capricorn,30-03-1995,Achyut,Allahabad
gemini,08-06-1998,Ardhendu,Karimnagar 
libra,21-12-1981,Bishakha,Pelling
aquarius,23-06-1978,Dhariyithri,Imphal
cancer,11-08-1968,Rajani,Kishangarh 
scorpio,31-12-1969,Kamal,Jalna 
pisces,25-05-1999,Inika,Jhunjhunun 
aries,11-07-1961,Deepika,Hardoi 
leo,07-11-1977,Roopa,Jamuria 
sagittarius,04-12-1949,Brinda,Bhubaneswar Town 
taurus,11-10-1948,Hiba,Unnao 
virgo,21-01-1946,Arup,Chikmagalur
capricorn,16-11-1943,Haaris,Sonipat 
gemini,29-02-1976,Datarpreet,Madurai
libra,07-03-1957,Charu,Mira Bhayander 
aquarius,06-06-1965,Azha,Rajahmundry
cancer,24-10-1986,Rajat,Jaipur
scorpio,27-10-1959,Meera,Bhimavaram 
pisces,19-07-1951,Dinesh,Mangalore
aries,02-08-1999,Diksha,Tirupati 
leo,17-12-1975,Jahan,Tumkur 
sagittarius,05-06-1943,Kajol,Bhiwani 
taurus,28-10-1993,Arun,Hardwar 
virgo,16-10-1960,Kaberi,Baranagar 
capricorn,25-11-1966,Anshu,Ghandinagar
gemini,16-03-1984,Pooja,Ghazipur 
libra,16-12-1967,Sunil,Alwar
aquarius,19-12-1978,Aakshi,Amritsar
cancer,11-11-1984,Heena,Madavaram 
scorpio,30-09-1989,Ayan,Akola 
pisces,28-01-1991,Abhay,Srinagar 
aries,02-04-1957,Hemant,Patna
leo,20-03-1961,Baghyawati,Asansol
sagittarius,04-09-1973,Latifah,Bekal
taurus,07-12-1995,Henish,Thiruvananthapuram 
virgo,17-07-1967,Indu,Raipur
capricorn,17-11-1941,GangaRam,Baidyabati 
