instruction,input,output
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jagdish, I was born on 20-02-1960, and my place of birth is Kakinada at 2:4, and my zodiac sign is taurus.","Saturn in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Advika, I was born on 02-02-1985, and my place of birth is Lucknow  at 1:8, and my zodiac sign is virgo.","Ketu in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jawad, I was born on 22-06-1943, and my place of birth is Jodhpur at 19:40, and my zodiac sign is capricorn.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ambuj, I was born on 24-12-1994, and my place of birth is Satna  at 14:9, and my zodiac sign is gemini.","Jupiter in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dharv, I was born on 14-06-1951, and my place of birth is Guntur  at 2:14, and my zodiac sign is libra.","Jupiter in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anunay, I was born on 03-01-1967, and my place of birth is Nizamabad at 23:23, and my zodiac sign is aquarius.","Mercury in 1st House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ahilan, I was born on 27-06-1993, and my place of birth is Kannur at 2:51, and my zodiac sign is cancer.","Jupiter in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ashok, I was born on 19-11-1981, and my place of birth is Aurangabad at 15:55, and my zodiac sign is scorpio.","Moon in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Falak, I was born on 24-03-1988, and my place of birth is Ranchi  at 22:17, and my zodiac sign is pisces.","Mercury in 8th House so you should invest in Retail stocks. Some stocks in this field are V2 Retail, V-Mart Retail, Sai Silks (Kalamandir) Ltd, Spencer's Retail etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ashok, I was born on 10-07-1956, and my place of birth is Godhra  at 3:59, and my zodiac sign is aries.","Venus in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Arasi, I was born on 09-10-1943, and my place of birth is Matheran at 13:57, and my zodiac sign is leo.","Mercury in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Chandrashekhar, I was born on 10-08-1953, and my place of birth is Unakoti at 4:32, and my zodiac sign is sagittarius.","Venus in 1st House so you should invest in gold and luxury goods, and since Moon is in 2nd House, you can also invest in media stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Maanvi, I was born on 07-01-1957, and my place of birth is Barasat  at 21:39, and my zodiac sign is taurus.","Ketu in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aadhira, I was born on 30-08-1972, and my place of birth is Solapur  at 21:40, and my zodiac sign is virgo.","Rahu in 10th House so you should invest in sports stocks. Some stocks in this field are the Madison Square Garden Company, Churchill Downs Incorporated, Formula One Group, PENN Entertainment etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Arjun, I was born on 07-09-1947, and my place of birth is Indore at 8:25, and my zodiac sign is capricorn.","Saturn in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Armaan, I was born on 29-07-1991, and my place of birth is Kanha at 16:10, and my zodiac sign is gemini.","Venus in 3rd House so you should invest in beauty stocks. Some stocks in this field are Tira, V-Mart Nykaa,  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ari, I was born on 09-09-1987, and my place of birth is Jamalpur  at 11:46, and my zodiac sign is libra.","Rahu in 12th House so you should invest in food stocks. Some stocks in this field are Britannia Industries, Hatsun Agro Products, Mrs. Bectors Food, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kapil, I was born on 30-01-1968, and my place of birth is Karawal Nagar  at 6:55, and my zodiac sign is aquarius.","Mars in 12th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Renu, I was born on 15-11-1944, and my place of birth is Murshidabad at 14:45, and my zodiac sign is cancer.","Ketu in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Alok, I was born on 15-09-1946, and my place of birth is Maunath Bhanjan  at 4:32, and my zodiac sign is scorpio.","Mercury in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Smitha, I was born on 30-12-1979, and my place of birth is Raniganj  at 0:0, and my zodiac sign is pisces.","Moon in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Farid, I was born on 11-02-1989, and my place of birth is Amravati at 4:41, and my zodiac sign is aries.","Moon in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ahmad, I was born on 02-05-1985, and my place of birth is Udaipur  at 5:5, and my zodiac sign is leo.","Mars in 2nd House so you should invest in steel,energy stocks. Some stocks in this field are Jindal Steel and Power,Sarda Energy & Minerals, Electrotherm  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Gokul, I was born on 21-08-1955, and my place of birth is Betul  at 10:16, and my zodiac sign is sagittarius.","Jupiter in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Asad, I was born on 29-09-1947, and my place of birth is Jabalpur at 18:39, and my zodiac sign is taurus.","Ketu in 10th House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Gajaanan, I was born on 09-09-1997, and my place of birth is Madanapalle  at 16:10, and my zodiac sign is virgo.","Jupiter in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Asha, I was born on 10-07-1991, and my place of birth is Chittorgarh at 11:16, and my zodiac sign is capricorn.","Rahu in 2nd House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Himmat, I was born on 29-09-1976, and my place of birth is Chandrapur  at 12:50, and my zodiac sign is gemini.","Saturn in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Diya, I was born on 01-11-1987, and my place of birth is Pithampur  at 21:29, and my zodiac sign is libra.","Moon in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Arpit, I was born on 07-03-1949, and my place of birth is Kalyani  at 11:33, and my zodiac sign is aquarius.","Moon in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Keshav, I was born on 29-12-1968, and my place of birth is Raurkela Industrial Township  at 18:3, and my zodiac sign is cancer.","Rahu in 12th House so you should invest in food stocks. Some stocks in this field are Britannia Industries, Hatsun Agro Products, Mrs. Bectors Food, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Karampreet, I was born on 20-11-1946, and my place of birth is Bhubaneshwar at 1:49, and my zodiac sign is scorpio.","Jupiter in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Alina, I was born on 21-11-1989, and my place of birth is Nabadwip  at 11:3, and my zodiac sign is pisces.","Venus in 8th House so you should invest in beauty stocks. Some stocks in this field are Tira, V-Mart Nykaa,  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ati, I was born on 10-05-1953, and my place of birth is Nandyal at 16:35, and my zodiac sign is aries.","Mars in 3rd House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Gajapati, I was born on 04-08-1974, and my place of birth is Nagercoil  at 11:0, and my zodiac sign is leo.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kundan, I was born on 05-03-1986, and my place of birth is Nagpur  at 18:27, and my zodiac sign is sagittarius.","Mars in 5th House so you should invest in sports stocks. Some stocks in this field are the Madison Square Garden Company, Churchill Downs Incorporated, Formula One Group, PENN Entertainment etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Gurdayal, I was born on 19-02-1986, and my place of birth is Chopta at 20:18, and my zodiac sign is taurus.","Ketu in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sonia, I was born on 07-05-1965, and my place of birth is Ambarnath  at 12:31, and my zodiac sign is virgo.","Rahu in 1st House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dhanraj, I was born on 18-06-1979, and my place of birth is Hooghly at 1:44, and my zodiac sign is capricorn.","Ketu in 1st House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hariom, I was born on 15-11-1946, and my place of birth is Jaipur  at 22:23, and my zodiac sign is gemini.","Jupiter in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sashi, I was born on 06-02-1961, and my place of birth is Chennai  at 2:24, and my zodiac sign is libra.","Jupiter in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Bhrithi, I was born on 10-11-1979, and my place of birth is Varanasi at 15:25, and my zodiac sign is aquarius.","Mercury in 1st House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Asharudeen, I was born on 14-04-1950, and my place of birth is Firozpur  at 11:9, and my zodiac sign is cancer.","Rahu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Arnav, I was born on 12-05-1943, and my place of birth is Bhusawal  at 6:20, and my zodiac sign is scorpio.","Moon in 5th House so you should invest in entertainment stocks. Some stocks in this field are PVR INOX, Shemaroo Entertainment, Tips Industries, Network18, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Furqan, I was born on 26-02-1970, and my place of birth is Vasai Virar City  at 7:56, and my zodiac sign is pisces.","Rahu in 5th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Adhiraj, I was born on 04-03-1948, and my place of birth is Kanchrapara  at 23:6, and my zodiac sign is aries.","Mercury in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Febin, I was born on 17-11-1982, and my place of birth is Fyzabad at 9:47, and my zodiac sign is leo.","Mercury in 5th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ashit, I was born on 28-04-1965, and my place of birth is Siliguri at 23:40, and my zodiac sign is sagittarius.","Sun in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Garvit, I was born on 01-08-1977, and my place of birth is Jorapokhar at 18:59, and my zodiac sign is taurus.","Sun in 2nd House so you should invest in gold and luxury goods, and since Moon is in 2nd House, you can also invest in media stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Amitava, I was born on 10-10-1957, and my place of birth is Kedarnath at 21:12, and my zodiac sign is virgo.","Ketu in 2nd House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jhumpa, I was born on 21-01-1942, and my place of birth is Alwar  at 2:26, and my zodiac sign is capricorn.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Joshil, I was born on 15-06-1987, and my place of birth is Kangra at 12:32, and my zodiac sign is gemini.","Moon in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sameer, I was born on 12-09-1990, and my place of birth is Gokarna at 2:42, and my zodiac sign is libra.","Mars in 2nd House so you should invest in steel,energy stocks. Some stocks in this field are Jindal Steel and Power,Sarda Energy & Minerals, Electrotherm  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dev, I was born on 01-10-1997, and my place of birth is Budaun  at 13:3, and my zodiac sign is aquarius.","Ketu in 1st House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Satish, I was born on 29-10-1943, and my place of birth is Vizianagaram  at 13:57, and my zodiac sign is cancer.","Venus in 5th House so you should invest in entertainment stocks. Some stocks in this field are PVR INOX, Shemaroo Entertainment, Tips Industries, Network18, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hamood, I was born on 11-09-1998, and my place of birth is Hindaun  at 12:58, and my zodiac sign is scorpio.","Mercury in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hemanshu, I was born on 14-02-1957, and my place of birth is Gwalior at 1:1, and my zodiac sign is pisces.","Moon in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Chaman, I was born on 11-07-1947, and my place of birth is Mangalore at 7:55, and my zodiac sign is aries.","Saturn in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Honey, I was born on 21-02-1976, and my place of birth is Pali at 18:29, and my zodiac sign is leo.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jasim, I was born on 18-06-1994, and my place of birth is Haora at 17:12, and my zodiac sign is sagittarius.","Mercury in 10th House so you should invest in government projects stocks. Some stocks in this field are Ircon International, Engineers India, NBCC (India) Limited, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Avanish, I was born on 13-11-1975, and my place of birth is Amaravati at 2:19, and my zodiac sign is taurus.","Mercury in 8th House so you should invest in Retail stocks. Some stocks in this field are V2 Retail, V-Mart Retail, Sai Silks (Kalamandir) Ltd, Spencer's Retail etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dhrsita, I was born on 04-05-1989, and my place of birth is Fatehpur  at 5:34, and my zodiac sign is virgo.","Moon in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dayita, I was born on 15-11-1965, and my place of birth is Abohar  at 11:19, and my zodiac sign is capricorn.","Jupiter in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Usha, I was born on 24-08-1985, and my place of birth is Panihati  at 4:18, and my zodiac sign is gemini.","Ketu in 2nd House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kiyana, I was born on 02-10-1941, and my place of birth is Bidhan Nagar  at 13:56, and my zodiac sign is libra.","Jupiter in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
